id;name;calculation;calculation_unit;calculation_date_from;calculation_date_to;activated;created_by;created_date;last_modified_by;last_modified_date
1;EXE;21163;Macao District Wooden;2021-07-24T16:37:28;2021-07-24T09:58:33;true;Intelligent;2021-07-24T22:58:08;Assurance;2021-07-25T00:56:37
2;Division Handcrafted Program;24984;Cambridgeshire context-sensitive;2021-07-25T03:48:10;2021-07-24T13:36:17;true;Wooden;2021-07-25T00:19:18;matrices Morocco;2021-07-24T18:27:57
3;Central generate Islands;89523;Cambridgeshire Rubber solution;2021-07-25T04:40:21;2021-07-25T06:23:07;false;wireless Metal;2021-07-25T01:49:09;Borders Computers;2021-07-25T02:33:01
4;copying compressing cross-platform;65415;Solomon;2021-07-24T15:30:28;2021-07-24T22:26:59;true;Investor;2021-07-24T19:59:56;portals Intelligent pink;2021-07-25T04:03:11
5;Table override;78511;action-items;2021-07-24T12:32:55;2021-07-25T07:28:09;true;SMTP;2021-07-24T14:09:42;Functionality neural Intelligent;2021-07-24T23:49:37
6;open-source Metal Island;22193;benchmark Plastic;2021-07-25T04:57:37;2021-07-24T14:55:24;true;Avon Buckinghamshire;2021-07-24T10:58:02;Liaison;2021-07-24T07:59:22
7;Practical Bolivar Kina;50295;Usability;2021-07-25T02:10:18;2021-07-25T04:35:58;false;Mauritius withdrawal User-centric;2021-07-25T04:36:09;Sausages;2021-07-25T07:00:49
8;Customer Rwanda;76759;Soft Pizza;2021-07-24T18:24:04;2021-07-24T22:37:11;false;User-friendly;2021-07-24T18:27:50;Granite archive harness;2021-07-24T16:36:58
9;Slovenia;16756;Wooden Djibouti;2021-07-24T10:32:16;2021-07-24T16:51:18;true;hack plug-and-play;2021-07-24T21:11:43;Fish utilisation New;2021-07-25T02:10:24
10;Saint;84540;transmitting Accountability;2021-07-24T21:38:24;2021-07-24T11:33:33;true;Cotton ivory Chips;2021-07-24T21:51:36;algorithm Tasty Chief;2021-07-25T07:31:17
