id;name;activated;created_by;created_date;last_modified_by;last_modified_date
1;Proactive 제주 Strategist;false;Internal India;2021-07-25T04:46:50;Cross-platform;2021-07-25T01:02:01
2;Generic;false;Intelligent;2021-07-24T15:50:29;읍 Frozen Interactions;2021-07-25T04:18:29
3;redundant up deposit;false;card primary;2021-07-24T10:08:19;Expanded;2021-07-25T03:07:27
4;Gambia Clothing 동;true;holistic;2021-07-24T18:02:52;loyalty Investor;2021-07-25T04:45:08
5;동 Fantastic Practical;false;redefine;2021-07-25T00:37:18;Denmark;2021-07-25T00:39:54
6;Legacy;false;Quetzal overriding Gloves;2021-07-25T06:54:22;Franc sensor;2021-07-24T11:39:31
7;광주;true;Extended Handcrafted;2021-07-24T15:28:51;America application cyan;2021-07-25T06:49:48
8;hacking;false;JSON generation Account;2021-07-24T09:19:06;Wooden;2021-07-25T02:08:35
9;local;false;Bike Keyboard payment;2021-07-25T00:56:16;Fantastic Keyboard Generic;2021-07-24T12:42:20
10;Convertible 경남 alarm;false;user-centric 동;2021-07-25T00:51:21;holistic monetize;2021-07-25T06:19:20
