id;code;value;activated;created_by;created_date;last_modified_by;last_modified_date
1;전남;GB;false;quantifying multi-byte 읍;2021-06-27T03:20:39;transmitting maximized;2021-06-26T20:27:52
2;payment;blue models Pizza;false;gold Handcrafted;2021-06-26T12:38:04;card facilitate lavender;2021-06-26T12:37:23
3;world-class Mexico world-class;overriding;false;invoice;2021-06-26T06:39:15;Table Buckinghamshire;2021-06-26T05:50:47
4;Dynamic project;Ergonomic indexing;false;RSS;2021-06-26T12:15:51;Baby Car;2021-06-26T23:38:28
5;engage;initiatives virtual;true;withdrawal Account Cambridgeshire;2021-06-26T19:35:46;synthesize Peso;2021-06-26T23:36:50
6;전북 blue;Estonia transmitter;false;Car;2021-06-26T17:36:54;Books Berkshire Ergonomic;2021-06-27T01:58:18
7;Home auxiliary;Direct Handmade turquoise;true;Identity empower foreground;2021-06-27T04:01:39;cyan Senior Vietnam;2021-06-27T00:22:48
8;Plastic magenta Baby;Shoes;false;copy haptic Bike;2021-06-26T15:30:54;Burundi;2021-06-26T16:03:07
9;neural 대전;copying Strategist Handcrafted;true;array Checking Chips;2021-06-27T02:23:29;Account;2021-06-26T11:48:26
10;Plastic Polarised Principal;Infrastructure salmon 동;true;Fish SAS;2021-06-26T05:30:02;synergize Directives Berkshire;2021-06-26T18:55:37
