id;value;activated;created_by;created_date;last_modified_by;last_modified_date
1;Ireland Avon haptic;true;transmitter connect;2021-06-26T09:15:09;actuating 읍 Regional;2021-06-26T18:33:57
2;interactive hack;false;Cambridgeshire Samoa front-end;2021-06-27T01:16:37;e-markets Exclusive;2021-06-26T09:20:34
3;Soap Sleek;true;bi-directional Metal;2021-06-26T11:50:07;gold;2021-06-27T02:52:54
4;open-source;true;Communications;2021-06-26T08:20:26;systems;2021-06-26T19:06:10
5;fault-tolerant Investment;true;Unbranded;2021-06-26T18:12:37;enhance Plastic tangible;2021-06-26T14:19:21
6;동 Nigeria Organized;true;Account;2021-06-26T07:29:23;exploit program enable;2021-06-26T05:19:06
7;deposit Account Pants;false;robust;2021-06-27T00:58:06;application;2021-06-26T08:49:44
8;payment 읍 HDD;true;Programmable;2021-06-26T10:35:54;Wooden Future collaborative;2021-06-27T02:03:30
9;동 면;false;deposit Soft;2021-06-26T15:42:39;Nepal Solutions;2021-06-26T15:36:13
10;Chief Home 동;false;Checking Optional programming;2021-06-26T18:03:03;Home;2021-06-27T03:44:17
