id;type;value;description_usage;recommend_show;description;thumbnail_file_url;activated;created_by;created_date;last_modified_by;last_modified_date
1;connect Home;grey Associate;false;false;../fake-data/blob/hipster.txt;navigating Account Integrated;false;background XML;2021-06-26T07:01:30;calculate Web;2021-06-26T15:48:02
2;Gloves Borders;modular;false;false;../fake-data/blob/hipster.txt;SCSI Human redundant;false;Shirt Chips Fundamental;2021-06-26T15:16:39;Northern;2021-06-27T04:16:23
3;human-resource;Response connect;true;true;../fake-data/blob/hipster.txt;Fantastic Team-oriented Global;false;International Rubber;2021-06-26T07:50:43;olive;2021-06-27T02:14:53
4;SQL;Plastic;true;true;../fake-data/blob/hipster.txt;Awesome Table;true;encompassing Optimization;2021-06-27T04:25:35;Pakistan gold indexing;2021-06-26T23:17:33
5;Incredible blue;Fresh National SQL;false;true;../fake-data/blob/hipster.txt;seize;true;SMS projection Tugrik;2021-06-26T12:58:50;connect;2021-06-26T15:46:19
6;program;Loan;false;false;../fake-data/blob/hipster.txt;modular encryption Granite;false;면;2021-06-26T11:14:31;Albania Steel;2021-06-26T05:12:02
7;optical experiences Paradigm;XML;false;true;../fake-data/blob/hipster.txt;programming Gorgeous;true;digital payment deposit;2021-06-26T19:54:17;읍 서울;2021-06-26T09:02:50
8;COM Customer Customer;programming bluetooth;false;false;../fake-data/blob/hipster.txt;Awesome synthesizing bypass;true;Steel 제주;2021-06-27T02:33:39;payment bluetooth communities;2021-06-27T03:19:38
9;Facilitator Bike 읍;haptic methodology Analyst;false;false;../fake-data/blob/hipster.txt;Program;false;Mauritania Grocery port;2021-06-26T15:53:24;withdrawal hack user-centric;2021-06-26T17:17:40
10;Wooden orchid;blue 면;true;false;../fake-data/blob/hipster.txt;grow Soft violet;false;RAM;2021-06-27T00:52:41;광주 functionalities Markets;2021-06-26T17:00:45
