id;name;type;category_main;category_sub;description;is_use;sort_order;regdate;is_use_discount
1;세종 충북;SERVICE;SSL;Functionality;orchestration initiatives primary;92687;89431;2021-05-30T08:03:52;13095
2;SAS;PRODUCT;Cotton;Administrator one-to-one;Senior override Legacy;46113;82656;2021-05-29T18:40:25;50485
3;Program workforce;PRODUCT;Bedfordshire Regional Health;Books;Vision-oriented;46342;65356;2021-05-29T16:34:43;64565
4;Pizza connecting haptic;PRODUCT;Future Customer;전북;Berkshire Rial;50270;1112;2021-05-29T14:16:51;12738
5;e-business;SERVICE;feed;Tasty Belarus motivating;strategize Digitized;67979;54544;2021-05-29T18:59:04;51557
6;payment;SERVICE;hack policy;virtual;transmit Yen;14738;20602;2021-05-30T10:18:51;7345
7;Berkshire Fresh;PRODUCT;systems compress;one-to-one Pants Gorgeous;Intelligent 제주 XML;12311;1284;2021-05-30T01:52:22;55754
8;전북 COM Account;SERVICE;Mouse;quantify 1080p;서울 Ergonomic;4189;62315;2021-05-30T04:06:57;10822
9;COM;PRODUCT;red;Implemented;Incredible;20530;96718;2021-05-29T23:16:50;39078
10;productize;SERVICE;online Research 동;Oro transmitting;virtual;9678;51294;2021-05-29T15:53:06;91548
