id;image_url;activated;created_by;created_date;last_modified_by;last_modified_date
1;enterprise Barbados;false;interface unleash attitude;2021-08-13T09:36:04;Auto primary evolve;2021-08-13T21:50:37
2;HTTP;true;JBOD structure;2021-08-13T15:06:40;envisioneer Norway;2021-08-13T14:57:52
3;Rubber Health;true;읍 Assistant;2021-08-14T01:21:35;Reduced;2021-08-13T19:22:05
4;driver Principal Lead;false;Handcrafted 경기 인천;2021-08-13T14:07:38;Direct bypass;2021-08-13T21:03:01
5;mindshare Human;true;울산;2021-08-14T00:29:57;compressing;2021-08-13T08:02:56
6;violet;false;technologies circuit;2021-08-14T02:46:21;Cambridgeshire;2021-08-13T19:02:24
7;Loan reboot Directives;false;Toys;2021-08-13T09:19:32;compressing Research;2021-08-13T07:03:34
8;e-commerce Facilitator Multi-layered;true;Fish Exclusive SDD;2021-08-14T02:36:34;Web 면 Lucia;2021-08-13T16:30:35
9;maroon quantify Angola;true;Honduras next;2021-08-13T19:49:37;bluetooth;2021-08-13T23:16:27
10;Personal productize payment;true;e-services Bedfordshire synthesizing;2021-08-14T00:48:31;Applications haptic;2021-08-13T21:40:49
