id;name;content;use_detail;activated;created_by;created_date;last_modified_by;last_modified_date
1;Marino users;../fake-data/blob/hipster.txt;true;false;copying Web;2021-07-24T20:31:38;Belize Refined;2021-07-24T22:21:14
2;강원 niches withdrawal;../fake-data/blob/hipster.txt;false;true;Assistant Future-proofed Home;2021-07-24T10:19:17;tan SMS Cambridgeshire;2021-07-24T18:09:20
3;plum;../fake-data/blob/hipster.txt;false;true;alarm Account;2021-07-24T11:08:26;Chips Borders User-centric;2021-07-25T06:23:45
4;Table;../fake-data/blob/hipster.txt;true;false;Kids;2021-07-25T02:42:02;5th;2021-07-25T01:58:30
5;Investment backing projection;../fake-data/blob/hipster.txt;false;false;경북 Branding;2021-07-25T06:21:08;Unbranded;2021-07-24T15:15:55
6;Pizza Cheese;../fake-data/blob/hipster.txt;true;false;Automotive relationships Somalia;2021-07-25T02:32:46;Awesome 동 SMS;2021-07-24T15:52:47
7;bus Sleek e-enable;../fake-data/blob/hipster.txt;false;true;Bedfordshire;2021-07-24T14:13:16;Avon;2021-07-24T16:24:09
8;Fish empower optical;../fake-data/blob/hipster.txt;false;false;Fresh 동 models;2021-07-24T14:18:24;Automotive;2021-07-24T08:55:37
9;Industrial;../fake-data/blob/hipster.txt;false;true;Malaysia;2021-07-24T21:23:29;충남 Handcrafted;2021-07-24T16:17:01
10;Lempira Tobago;../fake-data/blob/hipster.txt;false;true;Beauty Branding;2021-07-24T18:28:43;payment 경북 programming;2021-07-24T23:42:18
