id;name;content;use_detail;activated;created_by;created_date;last_modified_by;last_modified_date
1;Corporate;../fake-data/blob/hipster.txt;false;false;ROI;2021-07-25T02:38:10;Practical;2021-07-25T04:33:42
2;SMS contingency;../fake-data/blob/hipster.txt;true;true;blockchains 대구 salmon;2021-07-24T16:37:49;National 전북 서울;2021-07-24T20:45:09
3;Bacon archive embrace;../fake-data/blob/hipster.txt;false;true;implementation 동 Strategist;2021-07-24T07:47:35;Unbranded quantify next-generation;2021-07-25T05:01:56
4;Fish;../fake-data/blob/hipster.txt;true;false;pixel;2021-07-24T09:35:18;program Outdoors;2021-07-25T04:51:06
5;online;../fake-data/blob/hipster.txt;true;false;synergy;2021-07-25T02:08:17;viral;2021-07-24T16:15:50
6;quantify leading Sandwich;../fake-data/blob/hipster.txt;true;false;synthesize Chad 면;2021-07-25T07:39:21;Paradigm;2021-07-24T08:56:48
7;application AI orchestrate;../fake-data/blob/hipster.txt;false;false;Berkshire transparent;2021-07-24T15:45:10;dynamic Clothing 읍;2021-07-24T11:11:24
8;Customer;../fake-data/blob/hipster.txt;true;false;Principal;2021-07-25T02:53:01;matrix;2021-07-24T08:02:01
9;mobile Central Chips;../fake-data/blob/hipster.txt;false;false;navigate Mouse invoice;2021-07-25T02:25:37;Upgradable;2021-07-24T20:22:53
10;parse Human hacking;../fake-data/blob/hipster.txt;true;true;executive Sports THX;2021-07-24T17:57:11;models;2021-07-24T16:04:18
