id;type;activated;created_by;created_date;last_modified_by;last_modified_date
1;firmware;true;compress;2021-07-25T06:23:05;front-end Sausages capacitor;2021-07-24T12:20:38
2;Salad Balboa;false;circuit Granite;2021-07-25T05:05:19;COM Avon;2021-07-24T18:40:32
3;collaboration Berkshire Palau;false;XSS;2021-07-25T03:37:20;Seamless;2021-07-25T02:56:10
4;Buckinghamshire virtual;false;driver quantify Account;2021-07-24T15:33:04;deposit 울산;2021-07-24T16:31:41
5;SSL 동 transmit;false;Afghani Islands;2021-07-24T18:26:50;Corporate Brunei;2021-07-24T19:02:33
6;Tactics Licensed;false;Awesome Riel eyeballs;2021-07-25T01:43:11;Baby 울산;2021-07-24T19:38:04
7;application standardization Director;false;models;2021-07-25T00:50:20;systematic quantifying Interactions;2021-07-24T23:42:51
8;Buckinghamshire Coordinator indexing;true;calculate Lanka transmitting;2021-07-24T16:01:40;Pants generating efficient;2021-07-24T14:43:46
9;경북 Soft;true;Global Gloves haptic;2021-07-24T20:37:42;States;2021-07-25T03:42:32
10;Internal;true;Saint 면 Cambridgeshire;2021-07-24T21:03:09;interface;2021-07-25T07:10:58
