id;class_type;use_calculation;calculation;calculation_unit;use_calculation_date;calculation_date_from;calculation_date_to;use_discount;discount_price;discount_price_unit;use_discount_date;discount_date_from;discount_date_to;activated;created_by;created_date;last_modified_by;last_modified_date
1;동 Incredible;true;24885;Handcrafted Fresh Account;false;2021-07-24T17:02:19;2021-07-24T09:43:57;true;9595;Sleek Centralized white;true;2021-07-24T10:13:53;2021-07-24T15:43:25;false;e-business Gorgeous integrate;2021-07-25T00:49:01;explicit;2021-07-24T12:21:36
2;mobile frictionless Fresh;true;61204;relationships;false;2021-07-25T05:38:13;2021-07-24T16:26:27;false;90635;Granite tan;true;2021-07-24T23:29:06;2021-07-24T08:31:07;false;Designer;2021-07-24T09:03:58;Developer;2021-07-24T07:54:33
3;Turkmenistan;true;18477;전남;true;2021-07-25T03:46:27;2021-07-24T12:05:54;false;22513;Algeria;false;2021-07-24T12:23:09;2021-07-25T01:41:21;false;redefine Solutions Paradigm;2021-07-25T04:39:23;bypass Assistant;2021-07-24T16:14:12
4;Berkshire Fantastic 동;false;26494;동;false;2021-07-24T08:58:19;2021-07-24T20:48:25;false;93664;web-enabled;true;2021-07-24T17:35:59;2021-07-25T01:04:16;true;Applications;2021-07-24T17:07:46;Car up;2021-07-24T15:27:50
5;Table Fantastic;false;93141;Islands deposit override;true;2021-07-25T04:09:42;2021-07-24T11:23:32;false;54540;back THX Beauty;true;2021-07-25T06:18:34;2021-07-24T13:52:57;true;Borders firewall AI;2021-07-24T11:07:58;Global Future;2021-07-24T11:36:25
6;Future driver;true;59232;Rubber;false;2021-07-24T20:33:34;2021-07-25T06:47:09;true;64772;Rupiah;false;2021-07-24T16:54:00;2021-07-24T16:55:59;false;Personal Regional;2021-07-24T19:59:51;Chief PNG;2021-07-24T18:29:48
7;fuchsia Soft;false;67639;Koruna;false;2021-07-25T03:38:47;2021-07-24T08:13:47;false;98622;hard;true;2021-07-24T13:00:09;2021-07-24T15:31:32;false;Paradigm Synergistic Research;2021-07-24T16:32:57;면 Ergonomic;2021-07-24T11:20:54
8;Qatari Architect;true;59153;interface transmit;false;2021-07-24T17:59:02;2021-07-25T00:12:27;false;76471;Designer Industrial;false;2021-07-24T22:08:24;2021-07-24T18:24:19;false;Home;2021-07-24T22:09:32;lavender;2021-07-24T16:17:18
9;open-source Tasty RAM;true;45870;envisioneer;true;2021-07-25T07:09:43;2021-07-24T08:20:21;true;77325;Awesome;false;2021-07-24T19:30:00;2021-07-24T23:13:59;true;invoice Honduras;2021-07-24T09:24:40;Avon Frozen Intranet;2021-07-24T15:25:52
10;neural-net Fresh extend;false;33226;benchmark index;false;2021-07-24T13:36:39;2021-07-24T16:08:51;true;71586;Movies magnetic;false;2021-07-25T04:15:46;2021-07-24T07:55:27;false;Rustic reintermediate Steel;2021-07-24T10:28:53;Frozen;2021-07-25T01:30:08
