id;use_calculation;calculation;calculation_date_from;calculation_date_to;activated;created_by;created_date;last_modified_by;last_modified_date
1;false;Bacon solution networks;2021-06-26T16:32:28;2021-06-26T23:29:17;false;Metal;2021-06-26T12:41:38;면 bluetooth Pizza;2021-06-27T03:04:14
2;false;Corporate;2021-06-26T10:20:12;2021-06-26T07:14:53;true;Account invoice;2021-06-27T01:08:48;Rubber exploit;2021-06-27T04:20:36
3;false;Cross-platform Account;2021-06-26T20:08:32;2021-06-26T18:46:04;true;Grocery;2021-06-26T17:21:44;읍;2021-06-26T11:31:14
4;false;Liaison Generic;2021-06-26T05:22:30;2021-06-27T02:18:35;false;Pants Supervisor Car;2021-06-26T13:06:16;Marketing Money;2021-06-26T21:07:25
5;false;architect;2021-06-27T04:19:39;2021-06-27T03:21:16;true;제주 세종;2021-06-26T05:09:15;Avon bypass Zambian;2021-06-26T19:58:07
6;true;Savings;2021-06-26T11:44:08;2021-06-26T10:54:44;true;Streamlined Metical;2021-06-26T13:18:40;Savings;2021-06-27T02:16:20
7;true;Table supply-chains virtual;2021-06-26T09:14:18;2021-06-26T18:04:52;true;Electronics Guadeloupe capacity;2021-06-26T13:19:16;evolve lavender back-end;2021-06-26T09:56:02
8;true;Metal Concrete;2021-06-26T10:10:08;2021-06-26T18:15:03;false;deposit multimedia;2021-06-27T03:54:10;generating Focused;2021-06-26T08:49:51
9;true;Loan Chicken USB;2021-06-26T18:42:03;2021-06-26T07:04:29;true;structure JBOD;2021-06-26T05:07:15;compelling deposit;2021-06-26T16:33:40
10;true;deposit;2021-06-27T03:03:37;2021-06-26T21:22:25;false;Dominican red;2021-06-26T08:22:52;withdrawal gold 면;2021-06-26T12:23:53
