id;discount_device;discount_price;discount_price_unit;use_discount_date;discount_date_from;discount_date_to;created_by;reduce_price;created_date;last_modified_by;last_modified_date
1;Rubber;37955;Internal;false;2021-07-24T14:12:07;2021-07-24T10:15:25;Associate Intelligent Cotton;attitude Home Group;2021-07-25T00:11:31;Bangladesh port architecture;2021-07-25T05:21:55
2;parse;53329;Executive Vision-oriented white;false;2021-07-24T09:41:01;2021-07-24T21:07:46;seamless Cambridgeshire Developer;Rand Bedfordshire;2021-07-24T09:31:43;magnetic Cuba;2021-07-24T21:07:34
3;synergies Uganda 경북;48905;Refined niches;true;2021-07-24T12:47:04;2021-07-24T13:30:52;plum Belize Luxembourg;제주 Strategist;2021-07-25T06:43:01;success Forward;2021-07-24T22:19:19
4;TCP tan;28151;withdrawal Health;false;2021-07-24T13:58:58;2021-07-24T14:05:08;SQL;Industrial Gloves;2021-07-24T13:26:45;Interactions indigo Zimbabwe;2021-07-24T18:52:51
5;동 Tasty cyan;51430;Argentina Beauty;false;2021-07-25T06:56:46;2021-07-24T11:19:30;Bedfordshire withdrawal;ROI Berkshire;2021-07-25T06:12:37;synergistic Credit matrix;2021-07-24T13:02:31
6;innovative;14464;읍;false;2021-07-24T10:26:33;2021-07-25T04:12:07;Account;compress Research Rubber;2021-07-24T17:20:21;면 implementation;2021-07-24T08:33:04
7;Object-based Executive 24/365;91507;Movies deposit;true;2021-07-24T17:11:32;2021-07-24T14:46:25;implement;payment Usability;2021-07-24T12:25:45;TCP;2021-07-24T21:16:55
8;withdrawal Samoa Human;62090;Interactions;false;2021-07-24T09:37:09;2021-07-24T08:50:07;deposit;강원 Principal artificial;2021-07-24T11:22:42;Chief Security embrace;2021-07-24T09:32:23
9;Iraqi Cotton Director;81773;Identity Sports Awesome;true;2021-07-25T04:58:05;2021-07-25T01:42:18;Organized;adapter reboot intranet;2021-07-24T19:10:13;Frozen;2021-07-25T04:43:31
10;Rwanda PNG Gloves;99113;Sports grey;true;2021-07-24T16:05:19;2021-07-24T14:45:29;Unbranded;Granite;2021-07-25T03:14:42;Awesome;2021-07-24T13:40:44
