id;type;use_display_date;display_date_from;display_date_to;activated;created_by;created_date;last_modified_by;last_modified_date
1;Gorgeous;false;2021-07-24T17:34:34;2021-07-24T23:35:43;false;Refined digital;2021-07-24T09:34:55;channels SMS;2021-07-25T05:55:31
2;Assistant Card deposit;true;2021-07-25T00:11:33;2021-07-25T02:40:34;true;TCP Corporate;2021-07-24T18:11:51;area Intelligent Bedfordshire;2021-07-24T10:44:19
3;Clothing Internal e-enable;true;2021-07-24T13:10:56;2021-07-24T20:16:13;false;부산 Engineer;2021-07-24T22:51:21;Architect capacity Profit-focused;2021-07-24T19:54:48
4;Orchestrator Infrastructure Open-architected;false;2021-07-24T13:14:32;2021-07-25T04:37:19;false;Automotive Guernsey models;2021-07-24T23:47:34;interface solid;2021-07-25T06:56:09
5;Concrete monitor;true;2021-07-25T00:27:09;2021-07-25T03:15:03;false;applications global;2021-07-24T17:31:13;Metrics;2021-07-25T06:12:38
6;Digitized Savings;false;2021-07-25T04:28:10;2021-07-25T07:01:13;false;Table;2021-07-24T16:01:02;utilize Liaison;2021-07-24T11:08:42
7;Mobility invoice plum;true;2021-07-24T19:23:50;2021-07-25T06:55:47;false;Awesome;2021-07-24T15:10:38;back-end Loan;2021-07-25T07:02:39
8;Awesome;false;2021-07-25T05:40:45;2021-07-24T09:11:23;false;methodical;2021-07-24T15:31:08;Keyboard;2021-07-24T15:23:24
9;Factors;false;2021-07-24T20:01:14;2021-07-24T19:22:09;false;web-readiness e-commerce;2021-07-25T07:26:48;Operations bypassing dot-com;2021-07-25T00:58:28
10;Account bypassing;false;2021-07-25T04:52:58;2021-07-24T15:54:20;true;lavender;2021-07-24T15:50:37;navigate;2021-07-25T07:00:12
