id;name;color;content;type;activated;created_by;created_date;last_modified_by;last_modified_date
1;Enterprise-wide synthesize up;salmon;../fake-data/blob/hipster.txt;전북 calculating Concrete;true;Sleek User-friendly transmitting;2021-07-25T02:00:15;Administrator 제주 Gloves;2021-07-24T22:25:12
2;Infrastructure withdrawal Dollar;cyan;../fake-data/blob/hipster.txt;Internal infomediaries Functionality;true;Pants;2021-07-25T04:14:50;program 전남 tan;2021-07-24T17:23:13
3;backing repurpose grid-enabled;plum;../fake-data/blob/hipster.txt;encryption Account;true;Practical sticky support;2021-07-25T04:41:53;parallelism scale reboot;2021-07-24T12:55:07
4;동 archive Fresh;orchid;../fake-data/blob/hipster.txt;동 explicit software;false;Beauty Pizza website;2021-07-25T07:16:53;attitude-oriented USB;2021-07-25T03:34:00
5;red payment Public-key;white;../fake-data/blob/hipster.txt;info-mediaries AGP matrix;false;pixel Architect Principal;2021-07-24T16:49:11;Belize Communications Games;2021-07-24T21:08:38
6;high-level;indigo;../fake-data/blob/hipster.txt;attitude-oriented;false;parsing Baby;2021-07-24T23:58:26;Industrial Tactics;2021-07-24T22:29:29
7;Associate;silver;../fake-data/blob/hipster.txt;synthesize;true;calculate Rustic;2021-07-24T09:00:34;open-source;2021-07-24T18:12:10
8;Intuitive Fresh;blue;../fake-data/blob/hipster.txt;Licensed;false;Generic Steel;2021-07-24T12:04:48;Analyst haptic;2021-07-24T19:50:50
9;Coordinator synergistic;mint green;../fake-data/blob/hipster.txt;Automotive;false;global;2021-07-25T02:59:27;Intelligent morph Bedfordshire;2021-07-25T06:53:10
10;generating application Functionality;mint green;../fake-data/blob/hipster.txt;Indian;false;Research;2021-07-24T15:29:16;24/7;2021-07-24T15:18:36
