id;type;activated;created_by;created_date;last_modified_by;last_modified_date
1;program;true;morph Kids Persistent;2021-07-24T11:43:30;울산 Representative;2021-07-25T03:39:47
2;Account;false;Concrete;2021-07-24T23:12:14;navigate;2021-07-25T07:20:36
3;Buckinghamshire 경기 methodical;true;Product;2021-07-24T20:32:53;Assistant Communications;2021-07-25T00:17:32
4;scalable Generic wireless;false;deposit;2021-07-24T15:55:58;Creative bluetooth deposit;2021-07-24T16:04:49
5;Legacy withdrawal Soft;true;Director connecting;2021-07-24T11:41:01;Automotive Credit online;2021-07-24T19:37:36
6;Croatia calculating;true;Leu;2021-07-24T16:21:27;HTTP;2021-07-24T11:52:16
7;동 Pizza SAS;false;e-enable;2021-07-24T08:34:25;Chips Denar;2021-07-25T00:41:56
8;program Integration;true;Savings;2021-07-25T04:32:40;networks Wooden unleash;2021-07-25T04:41:54
9;rich;true;transmitting;2021-07-25T07:28:20;Credit Personal;2021-07-25T01:51:54
10;online;true;Orchestrator workforce;2021-07-24T11:32:45;부산 experiences;2021-07-24T18:46:07
