id;activated;created_by;created_date;last_modified_by;last_modified_date
1;true;fault-tolerant invoice;2021-06-25T18:31:37;Avon;2021-06-25T20:39:08
2;true;Gloves Operations;2021-06-25T21:54:08;copying Sports Tokelau;2021-06-26T07:05:49
3;true;maroon Helena;2021-06-26T07:13:04;Open-architected lime;2021-06-25T14:51:37
4;false;Borders;2021-06-25T09:35:05;Naira software;2021-06-25T09:02:36
5;true;Intuitive;2021-06-25T19:03:28;Identity 면;2021-06-26T03:25:57
6;false;Bacon discrete gold;2021-06-25T14:36:51;Macao;2021-06-25T22:10:01
7;false;empower;2021-06-25T09:04:13;Sol Producer;2021-06-25T15:59:26
8;false;Wooden;2021-06-25T16:37:39;Usability Developer Handmade;2021-06-25T12:02:42
9;false;Territory;2021-06-26T07:19:50;invoice Chief Quality;2021-06-26T06:07:46
10;false;TCP Turkmenistan;2021-06-26T04:46:29;Computer Avon;2021-06-25T15:49:33
