id;activated;created_by;created_date;last_modified_by;last_modified_date
1;false;Soap Samoa networks;2021-06-26T07:00:36;e-services;2021-06-25T23:38:26
2;true;innovative multi-byte Gorgeous;2021-06-25T18:36:45;Fresh standardization orange;2021-06-25T19:48:03
3;false;National Generic;2021-06-25T20:01:40;reboot violet;2021-06-25T15:23:35
4;true;engage Solutions functionalities;2021-06-25T15:35:46;envisioneer Croatia;2021-06-25T16:00:42
5;false;Ergonomic Uganda;2021-06-25T22:53:39;Money Loan Planner;2021-06-25T17:57:14
6;true;withdrawal;2021-06-25T23:53:36;compressing extend;2021-06-25T18:07:32
7;false;generating TCP 광주;2021-06-25T15:48:00;Tuna ability Card;2021-06-25T20:44:47
8;true;Concrete integrate;2021-06-25T21:16:27;blue;2021-06-26T00:56:15
9;true;Suriname Berkshire;2021-06-26T02:44:08;Small panel;2021-06-26T06:57:25
10;false;Concrete Shoes;2021-06-25T23:07:14;overriding;2021-06-25T14:39:12
