id;name;type;activated;created_by;created_date;last_modified_by;last_modified_date
1;Small Computer panel;읍 bypass cyan;false;Metal withdrawal;2021-06-26T22:15:29;Honduras web-readiness Czech;2021-06-27T02:15:51
2;Horizontal;울산 Keyboard;false;HTTP Enhanced Concrete;2021-06-26T17:55:08;hack Assistant;2021-06-26T10:04:55
3;읍 읍 Games;Plastic;true;Consultant deliverables alarm;2021-06-26T11:48:16;Computer networks Future;2021-06-26T16:47:15
4;backing;bleeding-edge;false;제주;2021-06-26T21:42:08;Savings seamless 24/7;2021-06-27T00:38:06
5;Tasty;cohesive plum transmit;false;Automotive panel;2021-06-27T02:53:05;background;2021-06-26T22:14:11
6;Barthelemy dynamic;transmitting sky optical;false;Fuerte Cambridgeshire Group;2021-06-26T23:25:00;Tasty SMTP;2021-06-26T07:48:39
7;Response collaborative orchestrate;Mobility Beauty platforms;false;cross-platform;2021-06-26T08:56:12;AI;2021-06-26T13:06:41
8;Buckinghamshire archive Account;intermediate benchmark City;true;extend indigo;2021-06-26T18:46:47;Ergonomic;2021-06-26T09:11:43
9;Awesome;Bacon Forint;true;to;2021-06-26T10:15:21;Barbados;2021-06-27T04:45:05
10;광주 Money;yellow yellow Sleek;false;leading-edge indexing;2021-06-26T16:35:58;matrix;2021-06-26T22:40:16
