id;name;type;activated;created_by;created_date;last_modified_by;last_modified_date
1;Synergized Movies;wireless;true;Aruba tan;2021-06-27T04:37:38;Electronics 인천;2021-06-26T23:48:38
2;Future;B2B granular;true;enterprise integrated;2021-06-26T19:09:17;open-source Internal Fresh;2021-06-26T11:20:07
3;Cheese;project;true;payment;2021-06-26T09:14:35;Account Polarised;2021-06-26T06:51:45
4;Supervisor 경기 Wooden;program;true;Incredible;2021-06-26T16:14:49;Account optical;2021-06-26T06:24:03
5;moratorium;Sleek Investment indexing;true;Operations Vatu transmit;2021-06-26T15:15:20;Dinar;2021-06-26T17:41:24
6;Handmade hardware;Handcrafted deposit application;false;deposit Borders;2021-06-27T00:18:46;Assimilated quantifying;2021-06-26T12:12:29
7;plum quantifying Soft;경기 relationships;true;Loti;2021-06-26T08:51:40;withdrawal parsing 면;2021-06-26T13:53:53
8;Metical;Officer 전북 override;true;indexing Handmade Singapore;2021-06-26T10:30:02;firewall PCI;2021-06-26T20:04:16
9;Market Granite Berkshire;withdrawal Wooden Account;false;convergence;2021-06-26T14:52:46;Functionality;2021-06-26T09:30:43
10;Mauritius Shoes;Tools Movies Metal;false;Account Assistant;2021-06-26T15:20:02;Borders Ergonomic redundant;2021-06-26T21:44:00
