id;name;type;activated;created_by;created_date;last_modified_by;last_modified_date
1;Handcrafted;Refined Ergonomic throughput;false;Regional;2021-06-26T23:42:44;Pants and Senior;2021-06-26T09:23:00
2;monitor Optional utilize;navigate;true;feed Fish Berkshire;2021-06-26T10:48:55;open-source Loan;2021-06-26T20:51:53
3;Account;Generic silver;false;magenta;2021-06-26T11:03:08;deposit capacitor stable;2021-06-26T20:47:31
4;Books networks;contingency;true;benchmark;2021-06-26T05:38:40;withdrawal North Peso;2021-06-27T00:41:29
5;indigo invoice;back-end;true;deposit;2021-06-26T13:36:52;function killer card;2021-06-26T17:03:11
6;functionalities Coordinator invoice;Garden;false;users;2021-06-27T01:24:04;Congo 24;2021-06-26T13:45:57
7;alliance HDD 부산;Money;false;ADP;2021-06-26T19:53:36;superstructure Small invoice;2021-06-26T21:57:37
8;Consultant bypassing;and;false;Home Supervisor;2021-06-26T14:04:44;mission-critical encryption;2021-06-26T15:10:13
9;calculate Dollar;East;true;Clothing;2021-06-26T07:05:27;Computer quantify;2021-06-26T12:43:14
10;Steel secondary;interface Toys;true;cross-platform port transmitting;2021-06-26T11:18:29;Strategist Principal;2021-06-27T00:06:49
