id;activated;created_by;created_date;last_modified_by;last_modified_date
1;true;web Factors;2021-06-26T09:44:57;Investor Home infrastructures;2021-06-26T13:06:15
2;true;Directives hack;2021-06-26T21:12:07;haptic invoice Loan;2021-06-26T16:38:47
3;false;동;2021-06-26T05:11:30;Afghanistan Berkshire array;2021-06-26T06:32:08
4;true;Wooden;2021-06-26T20:47:00;Internal compelling 동;2021-06-27T00:05:26
5;false;bypass Gorgeous;2021-06-26T18:56:11;generating withdrawal;2021-06-26T09:11:16
6;true;Implementation haptic models;2021-06-26T11:04:07;generate Account;2021-06-26T05:55:44
7;true;Compatible matrix;2021-06-26T06:19:25;hack parse;2021-06-26T06:42:29
8;false;driver Shirt Up-sized;2021-06-26T12:58:38;Directives Mouse pixel;2021-06-26T22:44:14
9;true;bluetooth;2021-06-26T21:35:08;Metrics;2021-06-27T02:01:30
10;false;e-enable Avon;2021-06-27T03:54:25;azure Savings Nepalese;2021-06-26T06:09:29
