id;name;is_group;default_shipping_price;free_shipping_price;jeju_shipping_price;difficult_shipping_price;refund_shipping_price;exchange_shipping_price;activated;created_by;created_date;last_modified_by;last_modified_date
1;SCSI;false;16874;40705;22585;29952;57889;46254;true;ROI payment 대구;2021-06-25T17:44:20;backing Spain;2021-06-25T08:02:21
2;Investor;true;25962;88457;83838;65442;85569;68;true;interface Savings Representative;2021-06-26T00:57:38;충남 Bolivia Coordinator;2021-06-25T09:44:45
3;Plastic invoice copy;false;3489;52851;45493;49255;98412;26547;true;application deliverables;2021-06-26T01:57:00;Account;2021-06-25T19:07:17
4;세종;true;41669;93706;18806;44003;76717;30105;false;동 Grocery systems;2021-06-25T07:57:49;copy 읍 Dinar;2021-06-26T00:36:14
5;mobile plum;false;61304;619;56498;37509;80353;31909;true;Handmade non-volatile Investor;2021-06-26T05:03:35;Practical Orchestrator;2021-06-26T03:19:46
6;orange neural Licensed;false;97986;16100;83561;49639;33113;82485;false;Mauritius Functionality;2021-06-25T14:02:07;deposit Pizza viral;2021-06-26T03:06:01
7;XSS Direct standardization;true;5422;16560;2135;8587;46413;1828;true;functionalities reinvent;2021-06-26T04:34:13;optical;2021-06-25T12:39:17
8;Avon Account;false;18242;47741;19187;12359;48780;79805;false;client-server national;2021-06-26T02:47:39;Synergistic;2021-06-25T12:31:42
9;Mauritius transparent Loan;true;86972;4717;36501;67782;4704;6792;true;content;2021-06-25T15:11:15;Optimized;2021-06-25T08:28:27
10;Steel Rubber;true;13926;73748;84834;84004;40915;31403;false;payment;2021-06-26T04:13:20;Research Unbranded AGP;2021-06-25T12:54:43
