id;name;use_group;default_shipping_price;free_shipping_price;jeju_shipping_price;difficult_shipping_price;refund_shipping_price;exchange_shipping_price;activated;created_by;created_date;last_modified_by;last_modified_date
1;Loan Cotton XSS;false;3970;16742;50465;92907;24142;98997;true;Territory programming;2021-07-25T03:10:21;extend Steel;2021-07-25T05:36:06
2;exuding info-mediaries Clothing;true;22439;10831;41064;61258;3765;45796;false;Pataca Fantastic;2021-07-24T09:02:28;Credit indexing;2021-07-24T09:32:01
3;Central user-centric Designer;false;23954;54345;42319;9574;76303;37701;true;override;2021-07-24T23:07:39;New Bangladesh;2021-07-24T18:21:09
4;Egypt 읍;true;25921;15306;9100;45254;98578;22730;true;Baby Games;2021-07-25T03:27:23;firewall deliver e-commerce;2021-07-25T04:54:09
5;deliverables withdrawal;false;76180;43140;15539;6408;85216;80845;true;responsive Assistant;2021-07-24T21:13:21;Dollar;2021-07-24T18:07:51
6;parse;false;85352;95026;60699;96566;43963;21277;false;silver;2021-07-25T00:36:30;alarm Future;2021-07-24T18:12:04
7;XML;true;8448;83531;74310;81848;50384;99372;false;Concrete Granite;2021-07-24T17:29:15;intuitive;2021-07-25T03:51:51
8;HTTP 대전 systems;false;20025;62057;80399;29364;87429;45979;false;payment;2021-07-24T16:05:14;eyeballs;2021-07-24T19:43:07
9;Incredible Principal;true;10676;10766;13950;26058;84366;86282;false;best-of-breed;2021-07-25T03:09:19;digital 면;2021-07-24T09:05:01
10;purple;true;38467;55958;80231;49335;77105;76619;false;Synergistic Algeria;2021-07-24T18:48:24;Account Central Account;2021-07-24T17:13:42
