id;activated;created_by;created_date;last_modified_by;last_modified_date
1;false;index JBOD;2021-06-25T18:56:43;Pula strategic group;2021-06-25T09:00:44
2;false;Assurance;2021-06-25T16:05:51;24/365 capacitor;2021-06-26T00:24:01
3;false;Accounts Franc maximized;2021-06-26T07:09:21;implement background protocol;2021-06-25T21:15:29
4;true;strategize task-force bifurcated;2021-06-26T06:15:13;system-worthy Customer;2021-06-25T18:22:35
5;false;Account Buckinghamshire Kuna;2021-06-26T01:35:31;overriding Silver;2021-06-25T08:54:26
6;false;Shirt;2021-06-26T05:34:24;Metal Small Principal;2021-06-26T07:14:21
7;false;scalable;2021-06-25T20:38:27;Polarised;2021-06-25T10:40:45
8;true;bus generate Avon;2021-06-25T19:36:59;lime;2021-06-25T17:41:08
9;true;Lead redefine Developer;2021-06-26T02:06:06;Lempira;2021-06-25T19:30:16
10;true;Buckinghamshire;2021-06-26T00:18:46;Ergonomic Specialist;2021-06-25T08:35:36
