id;name;type;use_calculation;calculation;calculation_unit;use_calculation_date;calculation_date_from;calculation_date_to;activated;created_by;created_date;last_modified_by;last_modified_date
1;Islands Italy Communications;Principal Wooden Fresh;false;37891;Planner;false;2021-07-24T13:53:43;2021-07-25T05:20:53;true;Cheese;2021-07-25T02:59:53;Account Quality Producer;2021-07-24T16:41:07
2;Adaptive driver ROI;Avon Loan transmitting;true;18512;generate compress;false;2021-07-24T21:18:29;2021-07-25T04:41:45;true;benchmark;2021-07-24T08:19:55;driver 1080p Account;2021-07-24T13:19:14
3;Clothing primary;adapter Tasty Division;true;44496;Zloty programming;true;2021-07-25T06:42:06;2021-07-25T06:16:33;true;copy;2021-07-24T16:11:11;Metrics 동 generation;2021-07-24T10:01:52
4;system;Internal;true;97105;Small Handmade;false;2021-07-24T19:33:33;2021-07-24T15:08:33;false;Cheese 동 invoice;2021-07-24T08:08:53;override best-of-breed plum;2021-07-25T04:41:41
5;Automotive TCP;동;true;13432;payment;true;2021-07-24T09:54:48;2021-07-25T06:18:23;true;deposit;2021-07-25T03:27:18;pixel Practical benchmark;2021-07-24T11:44:00
6;interface Senior;Dinar Cambridgeshire;false;73522;Architect;false;2021-07-24T23:18:27;2021-07-25T06:40:16;true;District channels end-to-end;2021-07-24T16:33:42;heuristic SMTP;2021-07-24T10:00:32
7;Loan Loan;incubate 면;true;57809;enable niches Digitized;false;2021-07-24T18:08:26;2021-07-24T22:01:05;false;Computer Steel e-markets;2021-07-24T12:51:05;Paraguay;2021-07-25T06:15:13
8;Rwanda Uzbekistan;Chips 충북 Oman;false;52490;ADP 경기 Concrete;true;2021-07-24T10:30:56;2021-07-25T02:49:52;true;navigating Movies;2021-07-25T05:14:25;Producer;2021-07-24T12:17:25
9;reboot 광주 indexing;azure applications deposit;false;57171;transmit;false;2021-07-25T06:12:57;2021-07-24T10:34:27;false;EXE Myanmar Nakfa;2021-07-24T17:48:32;Philippines;2021-07-24T13:21:48
10;real-time 전북;backing;false;25678;읍;false;2021-07-24T15:33:49;2021-07-25T06:47:23;false;parsing;2021-07-25T04:35:20;Account;2021-07-24T11:50:13
