id;use_calculation;calculation;calculation_date_from;calculation_date_to;activated;created_by;created_date;last_modified_by;last_modified_date
1;true;읍 system;2021-06-26T19:20:06;2021-06-26T04:58:55;true;Toys Dynamic;2021-06-27T00:11:40;bypassing;2021-06-26T04:57:15
2;false;brand empower;2021-06-26T10:34:34;2021-06-26T07:03:31;false;Customer European;2021-06-26T11:14:44;Brand;2021-06-26T12:36:47
3;false;Bulgaria Metal;2021-06-26T19:34:05;2021-06-27T03:41:15;false;Credit cross-platform;2021-06-26T18:50:58;Small Sausages;2021-06-27T04:40:07
4;true;green e-business bandwidth-monitored;2021-06-26T19:46:18;2021-06-26T18:56:00;true;면 Global process;2021-06-26T19:06:52;strategy;2021-06-26T20:47:36
5;false;system;2021-06-26T08:38:37;2021-06-27T03:38:37;true;CSS;2021-06-26T14:25:39;payment solutions;2021-06-26T09:58:21
6;false;울산;2021-06-27T00:03:49;2021-06-26T08:03:33;true;SAS 경남 Marketing;2021-06-26T16:50:11;Practical;2021-06-26T09:58:11
7;true;Home;2021-06-26T17:22:58;2021-06-27T04:48:46;true;Belgium;2021-06-26T20:56:44;Human 경기 District;2021-06-26T06:27:03
8;true;revolutionary tan neural;2021-06-27T02:10:12;2021-06-26T08:39:41;true;payment Sports;2021-06-26T19:36:50;Frozen sticky 경북;2021-06-26T18:45:41
9;true;protocol Haiti Producer;2021-06-26T08:35:45;2021-06-26T08:15:50;false;SSL Dynamic withdrawal;2021-06-26T21:02:45;context-sensitive Ergonomic digital;2021-06-26T19:24:48
10;true;hack;2021-06-26T05:17:38;2021-06-27T01:43:39;true;action-items whiteboard;2021-06-27T03:53:32;open-source;2021-06-26T09:26:27
