id;activated;created_by;created_date;last_modified_by;last_modified_date
1;false;Kids 서울 PCI;2021-06-25T07:46:22;feed project;2021-06-25T10:50:11
2;true;Account Product frictionless;2021-06-25T08:34:16;Canada copy Dollar;2021-06-25T08:18:22
3;false;Licensed generating;2021-06-25T19:15:55;Car National Account;2021-06-26T01:28:19
4;true;Refined 제주 Buckinghamshire;2021-06-25T19:02:21;Cambridgeshire project intuitive;2021-06-25T08:08:41
5;false;embrace Research;2021-06-25T23:35:47;compelling;2021-06-26T05:10:25
6;true;Robust RSS Fantastic;2021-06-25T10:25:48;Account;2021-06-25T15:56:20
7;false;Investment grey;2021-06-25T17:42:45;invoice Buckinghamshire frictionless;2021-06-25T11:41:55
8;false;value-added Berkshire Optimization;2021-06-25T09:54:26;Berkshire hierarchy Frozen;2021-06-25T21:53:17
9;false;Qatar deposit;2021-06-25T11:11:48;wireless whiteboard;2021-06-25T11:30:52
10;true;forecast;2021-06-25T12:37:39;읍;2021-06-26T03:36:50
