id;activated;created_by;created_date;last_modified_by;last_modified_date
1;true;Shirt 전북;2021-06-26T06:32:09;collaborative index COM;2021-06-26T00:58:47
2;false;turn-key 면;2021-06-26T07:13:32;infrastructures Buckinghamshire 읍;2021-06-26T06:39:00
3;false;Rubber SSL;2021-06-26T03:00:02;Cotton Checking;2021-06-25T08:49:33
4;true;Cotton;2021-06-25T21:29:06;AGP Stand-alone Toys;2021-06-26T03:25:02
5;true;대구 Ball;2021-06-25T19:48:22;clicks-and-mortar quantifying Clothing;2021-06-25T16:58:05
6;true;sensor;2021-06-26T03:55:31;Data;2021-06-25T18:34:12
7;false;Direct;2021-06-26T04:04:26;읍 Future;2021-06-26T00:42:32
8;true;synthesize 동 Technician;2021-06-26T05:08:04;compressing;2021-06-26T06:24:30
9;true;yellow ability Generic;2021-06-26T03:05:02;auxiliary;2021-06-25T13:59:57
10;true;capacitor Cheese;2021-06-26T02:46:41;neural Integration Profit-focused;2021-06-26T00:55:47
