id;name;type;calculation;activated;created_by;created_date;last_modified_by;last_modified_date
1;service-desk Uganda 광주;Consultant;Administrator;false;cultivate;2021-06-26T18:13:42;portal Keyboard;2021-06-26T20:08:43
2;cross-platform Toys Practical;standardization auxiliary asymmetric;읍 Small Fantastic;true;Awesome invoice;2021-06-26T20:14:59;Consultant black withdrawal;2021-06-26T19:09:57
3;firmware;open-source;Optimized grid-enabled;true;Rubber;2021-06-26T15:12:37;Berkshire Buckinghamshire maroon;2021-06-26T20:13:44
4;matrix;Senior;interface;true;European Ergonomic backing;2021-06-26T15:35:28;Principal;2021-06-26T13:46:40
5;leverage metrics Zambia;lavender;Steel Program Rubber;false;읍 1080p salmon;2021-06-26T09:35:26;Sleek;2021-06-27T01:14:38
6;Berkshire program;Concrete EXE;invoice Data generation;true;Customer ADP;2021-06-26T20:35:12;USB solid;2021-06-26T13:52:45
7;RAM;전북 interface XSS;niches payment;true;expedite;2021-06-27T00:02:58;XSS;2021-06-27T02:44:47
8;proactive deposit;Somali transmitting;Fuerte Manager;false;Cotton motivating;2021-06-26T15:08:19;Paradigm;2021-06-26T11:27:43
9;Generic multimedia;Checking;Account Handmade 면;false;Chair bypass;2021-06-26T20:39:33;Graphic transmitting;2021-06-27T02:33:06
10;auxiliary Ergonomic e-services;대전 읍 interactive;Architect high-level Franc;false;synthesizing Iranian Awesome;2021-06-26T06:12:45;matrix 제주;2021-06-26T10:04:48
