id;name;calculation;calculation_unit;calculation_date_from;calculation_date_to;activated;created_by;created_date;last_modified_by;last_modified_date
1;invoice JSON 세종;1823;경남 extend Fish;2021-07-25T01:23:13;2021-07-25T02:18:17;true;Avon Berkshire 대전;2021-07-24T19:28:26;indexing;2021-07-25T04:54:54
2;Borders implement 전남;59741;state Sports payment;2021-07-24T13:56:15;2021-07-25T07:35:37;false;Savings;2021-07-25T01:39:46;world-class vertical Denmark;2021-07-25T00:55:28
3;Cotton up;63442;transparent 동 logistical;2021-07-24T17:34:39;2021-07-24T17:06:36;false;convergence 전북 Kids;2021-07-24T23:54:06;Product Quality Morocco;2021-07-24T15:02:01
4;transparent system 전북;36943;Money;2021-07-24T15:17:42;2021-07-25T02:12:17;false;Granite Korean 동;2021-07-24T09:57:17;Steel Denmark Steel;2021-07-24T16:08:05
5;Bedfordshire redefine Monitored;70958;viral Shirt leading;2021-07-24T10:45:26;2021-07-24T08:23:46;true;paradigm mobile;2021-07-24T13:23:21;Plastic Ergonomic Western;2021-07-24T18:56:36
6;읍;72789;red Granite Bike;2021-07-24T09:38:27;2021-07-24T21:40:17;false;redefine Pants;2021-07-24T10:37:15;open-source SCSI;2021-07-25T07:26:16
7;Canadian;18251;Mouse hack B2C;2021-07-24T20:49:07;2021-07-24T09:09:12;true;Towels virtual;2021-07-25T03:54:15;Coordinator;2021-07-24T12:56:18
8;Regional Re-engineered iterate;40054;orange;2021-07-24T12:01:29;2021-07-24T22:55:46;false;Garden Bhutanese program;2021-07-24T09:14:46;next-generation B2C Chair;2021-07-24T08:40:01
9;Berkshire markets;71571;parallelism Account;2021-07-25T04:01:34;2021-07-25T07:26:01;false;Cotton iterate;2021-07-25T01:36:30;Grocery Berkshire Coordinator;2021-07-25T02:12:25
10;virtual Garden;84560;invoice hacking;2021-07-24T22:57:39;2021-07-24T20:10:48;false;Denmark interactive;2021-07-24T22:08:24;Concrete;2021-07-24T23:57:36
